FAUNISTIC_CATEGORY;SEX;MEDITS_STAGE_from_2012;MEDITS_STAGE_up_to_2006
Ao;I;0;0
Ao;I;NDND;0
Ao;F;1;1
Ao;F;2A;2
Ao;F;2B;2
Ao;F;2C;2
Ao;F;3;3
Ao;F;4A;4
Ao;F;4B;4
Ao;F;NDND;0
Ao;M;1;1
Ao;M;2A;2
Ao;M;2B;2
Ao;M;2C;2
Ao;M;3;3
Ao;M;4A;4
Ao;M;4B;4
Ao;M;NDND;0
Ao;N;0;0
Ao;N;NDND;0
Ae;I;0;0
Ae;F;1;1
Ae;F;2;2
Ae;F;3A;3
Ae;F;3B;3
Ae;F;3C;3
Ae;F;3D;3
Ae;F;4A;4
Ae;F;4B;4
Ae;M;1;1
Ae;M;2;2
Ae;M;3A;3
Ae;M;3B;3
Ae;M;4;4
Ae;N;0;0
Ae;N;NDND;0
Ae;F;NDND;0
Ae;M;4A;4
Ae;M;NDND;0
Ae;I;NDND;0
B;I;0;0
B;F;1;1
B;F;2A;2
B;F;2B;2
B;F;2C;2
B;F;2D;2
B;F;2E;2
B;F;3;3
B;M;1;1
B;M;2A;2
B;M;2B;2
B;M;2C;2
B;M;2D;2
B;M;2E;2
B;M;3;3
B;N;0;0
B;M;NDND;0
B;F;NDND;0
B;I;NDND;0
B;N;NDND;0
Bst;I;0;0
Bst;F;1;1
Bst;F;2A;2
Bst;F;2B;2
Bst;F;2C;2
Bst;F;2D;2
Bst;F;2E;2
Bst;F;3;3
Bst;M;1;1
Bst;M;2A;2
Bst;M;2B;2
Bst;M;2C;2
Bst;M;2D;2
Bst;M;2E;2
Bst;M;3;3
Bst;N;0;0
Bst;M;NDND;0
Bst;F;NDND;0
Bst;I;NDND;0
Bst;N;NDND;0
Beu;I;0;0
Beu;F;1;1
Beu;F;2A;2
Beu;F;2B;2
Beu;F;2C;2
Beu;F;2D;2
Beu;F;2E;2
Beu;F;3;3
Beu;M;1;1
Beu;M;2A;2
Beu;M;2B;2
Beu;M;2C;2
Beu;M;2D;2
Beu;M;2E;2
Beu;M;3;3
Beu;N;0;0
Beu;M;NDND;0
Beu;F;NDND;0
Beu;I;NDND;0
Beu;N;NDND;0
C;I;0;0
C;F;1;1
C;F;2A;2
C;F;2B;2
C;F;3A;3
C;F;3B;3
C;M;1;1
C;M;2A;2
C;M;2B;2
C;M;3A;3
C;M;3B;3
C;N;0;0
C;M;NDND;0
C;F;NDND;0
C;I;NDND;0
C;N;NDND;0
Ao;M;2O;2
Ao;F;2O;2
B;M;2O;2
B;F;2O;2
Bst;M;2O;2
Bst;F;2O;2
Beu;M;2O;2
Beu;F;2O;2
C;M;2O;2
C;F;2O;2
C;M;3O;3
C;F;3O;3
Ae;M;3O;3
Ae;F;3O;3
Ao;M;4O;4
Ao;F;4O;4
