Species;SEX;min_L50;max_L50;smallest_mature_individual_observed;min_length_SEX_INVERSION;max_length_SEX_INVERSION;Type_of_hermaphroditism;Area;Reference;Start_reproductive_season;End_reproductive_season
ARIS FOL;F;3.35;3.9;2.8;;;;"Central-southern Tyrrhenian, Ionian, southern Adriatic;Sardinia, Sicily Strait";"Estimations CAMPBIOL 2008-2009; Syndem, 1999";5;8
ARIS FOL;M;2.83;3.1;2.7;;;;Central-southern Tyrrhenian, Ionian, southern Adriatic;"Estimations CAMPBIOL 2008-2009; Syndem, 1999";5;8
ARIT ANT;F;2.19;2.86;1.8;;;;Central-southern Tyrrhenian, Ionian, southern Adriatic;Estimations CAMPBIOL 2008-2009;5;8
ARIT ANT;M;1.94;1.94;1.5;;;;Central-southern Tyrrhenian, Ionian, southern Adriatic;Estimations CAMPBIOL 2008-2009;5;8
CITH MAC;C;12.5;19;10;;;;"Aegean Sea; Portuguese waters";"Vassilopoulou and Papacostantinou, 1994; Teixeira et al., 2010";10;12
ELED CIR;F;8.98;11.35;8;;;;Central-southern Tyrrhenian, Ionian, southern Adriatic;Estimations CAMPBIOL 2008-2009;3;8
ELED CIR;M;7.8;9;6.5;;;;Central-Southern Tyrrhenian, South Adriatic;"Donnaloia et al., 2010; Estimations CAMPBIOL 2008-2009";3;8
ELED MOS;F;8.2;10;7.5;;;;Ligurian Sea;Syndem, 1999;1;12
ELED MOS;M;5.5;7.6;4.4;;;;"Ligurian Sea; South Adriatic";"Syndem, 1999; Adriamed project";1;12
ENGR ENC;F;8.2;11.3;6.56;;;;"North Adriatic; Sicily Strait";"Rampa et al., 2005; Basilone et al.";4;9
ENGR ENC;M;7.5;11.2;6;;;;"North Adriatic; Sicily Strait";"Rampa et al., 2005; Basilone et al.";4;9
EUTR GUR;C;18;24;14.4;;;;Bay of Biscay;Fishbase;3;8
GALU MEL;F;38;49.73;37.5;;;;"Mediterranean; Central-southern Tyrrhenian, Ionian, southern Adriatic";"Syndem, 1999; Estimations CAMPBIOL 2009";3;9
GALU MEL;M;34;50.8;27.2;;;;"South Adriatic; Mediterranean";"Ungaro, 1997; Syndem, 199";1;12
HELI DAC;F;22;28;17.6;;;;"Western Ireland; Azores";"Kelly, 1999; Mendoça, 2006";1;3
HELI DAC;M;26;28;20.8;;;;"Western Ireland; Azores";"Kelly, 1999; Mendoça, 2006";6;9
ILLE COI;F;14.6;18.4;9.5;;;;"Southern Adriatic; Galician coast north-west Spain";"Marano et al., 2006; Gonzales and Guerra, 1996";1;12
ILLE COI;M;12;13.7;8;;;;"South Adriatic; Strait of Sicily";"Jereb and Ragonese, 1995; Marano et al., 2006";1;12
LEPM BOS;C;18.2;23.6;17;;;;"Portuguese water; South Adriatic";"Teixeira et al., 2010; Ungaro et al., 1998";1;4
LOLI VUL;F;17;18.9;15.8;;;;"North Tyrrhenian; Cadiz Gulf";"Ria et al., 2005; Vila et al., 2010";1;3
LOLI VUL;M;15.3;18.8;11.8;;;;"North Tyrrhenian; Portuguese waters";"Ria et al., 2005; Moreno et al., 2005";1;3
LOPH BUD;F;53.6;70.4;30.5;;;;"Atlantic spanish coasts; north-west coast of Scotland";"Duarte et al., 2001; Laurenson et al., 2008";1;12
LOPH BUD;M;38.6;49.4;17;;;;"Atlantic spanish coasts; north-west coast of Scotland";"Duarte et al., 2001; Laurenson et al., 2008";1;12
LOPH PIS;F;68.5;93.9;54.8;;;;"Atlantic spanish coasts; Mediterranenan";"Duarte et al., 2001; Ungaro et al., 2002";11;6
LOPH PIS;M;49;57;36;;;;"north-west coast of Scotland; Faroese waters";"Dias and Hislop, 1996; Ofstad and Laurenson, 2007";11;6
MERL MER;F;26;46.5;21;;;;" Northern and central Adriatic; northern Tyrrhenian";"Adriamed project; Biagi et al. 1995";1;12
MERL MER;M;18.2;32.8;16.8;;;;"Central-southern Tyrrhenian, Ionian, southern Adriatic; Iberian Atlantic waters";"Estimations CAMPBIOL 2008-2009; Pineiro,2004";1;12
MICM POU;C;15;22;12;;;;"Aegean; Ligurian Sea and central Adriatic";"Papacostantinou et al., 1989; Syndem, 1999";11;4
MULL BAR;F;10;14;8;;;;Northern and central Adriatic;Adriamed project;4;7
MULL BAR;M;10.5;13.87;8.5;;;;"Northern and central Adriatic; Tunisian Gulf";"Adriamed project; Cherif et al. 2007";5;7
MULL SUR;F;12.21;19.5;9.768;;;;"Central-southern Tyrrhenian, Ionian, southern Adriatic; Strait of Sicily";"Estimations CAMPBIOL 2008-2009; Fishbase";3;7
MULL SUR;M;12.8;15;12;;;;"Central-southern Tyrrhenian, Ionian, southern Adriatic; Island of Majorca";"Estimations CAMPBIOL 2008-2009; Renones et al.";12;6
NEPR NOR;F;2.29;3.75;2.01;;;;"Irish waters; Adriatic";"N. McQuaid, 2006; Syndem, 1999";3;6
NEPR NOR;M;1.51;2.84;1.208;;;;"Portuguese waters; Irish waters";"Cristina Silva (INRB/L-IPIMAR); N. McQuaid, 2006";3;6
OCTO VUL;F;13.5;15;13;;;;Central-southern Tyrrhenian, Ionian, southern Adriatic;"Adriamed project and Syndem, 1999; Estimations CAMPBIOL 2009";4;10
OCTO VUL;M;9.5;10;6.5;;;;Gabes, Mediiterranean;"Adriamed project and Syndem, 1999; Zghidi et al., 2004";4;10
PAGE ACA;F;15;21.7;12;24;30;proterandrous;Gulf of Cadiz and Alboran Sea;"Velasco et al., 2011; Fishbase";3;11
PAGE ACA;M;13.4;18.4;10.72;24;30;proterandrous;Gulf of Cadiz and Alboran Sea;"Velasco et al., 2011; Fishbase";3;11
PAGE BOG;F;28.2;35.15;22.56;20;32;proterandrous;"Andalusian coast; Strait of Gibraltar";"Jiménez, N., 2010; Herrera, 2010";1;4
PAGE BOG;M;24.4;30.15;19.52;20;32;proterandrous;"Andalusian coast; Strait of Gibraltar";"Jiménez, N., 2010; Gil and Sobrino, 2001";1;4
PAGE ERY;C;11;13;8.8;16;18;protogynous;"Adriatic; Northern Tyrrhenian";"Adriamed project; Fishbase";3;11
PAPE LON;F;1.841;2.85;1.4728;;;;Central-southern Tyrrhenian, Ionian, southern Adriatic;"Estimations CAMPBIOL 2008-2009; Syndem, 1999";3;12
PAPE LON;M;1.32;1.37;1.056;;;;Central-southern Tyrrhenian, Ionian, southern Adriatic;Estimations CAMPBIOL 2008-2009;3;12
PHYI BLE;C;18;33;14.4;;;;Mediterranean;Fishbase;6;3
RAJA CLA;F;60;78.4;57.7;;;;"Portuguese waters; Mediterranean";"Serra-Pereira et al., 2011; Syndem, 1999";5;1
RAJA CLA;M;54;67.6;43.2;;;;"Portuguese waters; Mediterranean";"Serra-Pereira et al., 2011; Syndem, 1999";5;1
SARD PIL;C;7.9;15.8;6.32;;;;"Moroccan Atlantic coast; eastern Adriatic Sea ";"Amenzoui et al., 2006; Sinov?i? et al., 2008";9;7
SCYO CAN;F;35;44;28;;;;"Mediterranean; Languedocian Coast";"Syndem, 199; Fishbase";10;8
SCYO CAN;M;30;39.6;24;;;;"Aegean Sea; Mediterranean";"Kousteni et al., 2010; Syndem, 1999";10;8
SEPI OFF;F;8;12;6.4;;;;"Portuguese waters; Off Tunisia";"Neves et al., 2009; Adriamed project";4;7
SEPI OFF;M;5.9;10;5.5;;;;"Portuguese waters; Off Tunisia";"Neves et al., 2009; Adriamed project";4;7
SOLE VUL;C;22;31;17.6;;;;Gulf of Biscay;Fishbase;11;5
SPIC FLE;C;10.1;13.2;8.08;12.1;18;protogynous;"Patraikos Gulf (Greece); Aegean Sea";"Fishbase; Soycan, 2010";3;10
SPIC SMA;C;8.9;12;7.12;17.9;17.9;protogynous;"Creete; western Mediterranean";"Fishbase; Ordines, 2006;";10;8
TODA SAG;F;33.7;36;31.8;;;;"Balearic Islands; Catalan Sea";"Quetglas et al., 1998; Syndem, 1999";7;12
TODA SAG;M;22;23.2;19.6;;;;"Balearic Islands; Catalan Sea";"Quetglas et al., 1998; Syndem, 1999";7;12
TODI EBL;C;13;16.8;10;;;;Northwest Africa;Hernández-García, 2002;1;12
TRAC MED;C;15.6;16;14;;;;North Adriatic;Viette el al, 1997;5;8
TRAC TRA;C;16.5;22;13.2;;;;"Aegean;Portuguese waters";"Karlou-Riga and Economidis, 1996; Costa, 2009";1;8
TRIG LUC;F;19;21.6;15.2;;;;"Tunisian waters; ?zmir Bay (Aegean Sea)";"Boudaya, 2008; Ilhan, 2007";12;5
TRIG LUC;M;17.7;19.2;14.16;;;;"Tunisian waters; ?zmir Bay (Aegean Sea)";"Boudaya, 2008; Ilhan, 2007";10;5
TRIS CAP;F;13.3;15;10.64;;;;"North and central Adriatic; central Aegean Sea";"Vallisneri et al., 2003; Metin et al., 2008";10;5
TRIS CAP;M;12.4;12.5;9.92;;;;"central Aegean Sea; Northern Tyrrhenian";"Metin et al., 2008; Biagi et al., 1992";12;4
ZEUS FAB;C;26;37;20.8;;;;"Gulf of Biscay; waters of England and Wales";"Fishbase; Dunn, 2001";3;8
