GSA;CODE;Area
1;1;Northern Alboran Sea
2;2;Alboran Island
3;3;Southern Alboran Sea
4;4;Algeria
5;5;Balearic Island
6;6;Northern Spain
7;7;Gulf of Lion
8;8;Corsica
9;9;Ligurian Sea and North Tyrrhenian Sea
10;10;Southern and Central Tyrrhenian Sea
11;11.1;Western Sardinia
11;11.2;Eastern Sardinia
12;12;Northern Tunisia
13;13;Gulf of Hammamet
14;14;Gulf of Gabes
15;15;Malta
16;16;Southern Sicily
17;17;Northern Adriatic
18;18;Southern Adriatic Sea
19;19;Western Ionian Sea
20;20;Eastern Ionian Sea
21;21;Southern Ionian Sea
22;22;Aegean Sea
23;23;Crete
24;24;Northern Levant Sea
25;25;Cyprus
26;26;Southern Levant Sea
27;27;Eastern Levant Sea
28;28;Marmara Sea
29;29;Black Sea
30;30;Azov Sea
